_id,total
"{""url"": ""www.financialexpress.com""}",85
"{""url"": ""nokiamob.net""}",4
"{""url"": ""www.talkesport.com""}",3
"{""url"": ""www.newshub.co.nz""}",1
"{""url"": ""www.musicbusinessworldwide.com""}",2
"{""url"": ""www.theblockcrypto.com""}",33
"{""url"": ""goachronicle.com""}",1
"{""url"": ""versionweekly.com""}",4
"{""url"": ""thenextweb.com""}",84
"{""url"": ""www.euronews.com""}",4
"{""url"": ""investor.spglobal.com""}",1
"{""url"": ""www.pgurus.com""}",17
"{""url"": ""thefinancialbrand.com""}",1
"{""url"": ""avenuemail.in""}",3
"{""url"": ""www.timesnownews.com""}",1047
"{""url"": ""cryptonews.com""}",2
"{""url"": ""www.carandbike.com""}",1191
"{""url"": ""www.4029tv.com""}",1
"{""url"": ""www.health.com""}",2
"{""url"": ""www.mediapost.com""}",5
"{""url"": ""www.livescience.com""}",4
"{""url"": ""www.androidcentral.com""}",3
"{""url"": ""pulse2.com""}",3
"{""url"": ""www.prokerala.com""}",1
"{""url"": ""consent.yahoo.com""}",2
"{""url"": ""www.channelnewsasia.com""}",36
"{""url"": ""www.taiwannews.com.tw""}",2
"{""url"": ""www.standard.co.uk""}",2
"{""url"": ""www.hindustantimes.com""}",2794
"{""url"": ""www.businesswire.com""}",36
"{""url"": ""splash247.com""}",13
"{""url"": ""motoroctane.com""}",184
"{""url"": ""english.newstracklive.com""}",4
"{""url"": ""gearpatrol.com""}",1
"{""url"": ""www.mysmartprice.com""}",4
"{""url"": ""www.sharecast.com""}",1
"{""url"": ""www.sciencedaily.com""}",2
"{""url"": ""www.space.com""}",2
"{""url"": ""www.motorauthority.com""}",1
"{""url"": ""www.unenvironment.org""}",1
"{""url"": ""www.ft.com""}",128
"{""url"": ""prime.economictimes.indiatimes.com""}",38
"{""url"": ""www.cruiselawnews.com""}",2
"{""url"": ""www.army-technology.com""}",1
"{""url"": ""newsmeter.in""}",2
"{""url"": ""www.forbesindia.com""}",24
"{""url"": ""www.seattletimes.com""}",1
"{""url"": ""goingconcern.com""}",1
"{""url"": ""eurasiantimes.com""}",35
"{""url"": ""www.ctvnews.ca""}",1
"{""url"": ""www.ibtimes.sg""}",1
"{""url"": ""thenortheasttoday.com""}",3
"{""url"": ""www.newkerala.com""}",2
"{""url"": ""www.carscoops.com""}",5
"{""url"": ""www.nst.com.my""}",1
"{""url"": ""www.saudigazette.com.sa""}",1
